"","w1","w2","w3","N"
"877","well","ccomma","if",2
"878","that's","what","you",2
"879","what","you","want",2
"880","pperiod","all","right",2
"881","on","you","pperiod",2
"882","ccomma","suki","pperiod",2
"883","sstart","no","ppause",2
"884","ppause","well","ccomma",2
"885","i","was","wrong",2
"886","was","wrong","pperiod",2
"887","wrong","pperiod","eend",2
"888","i","won't","let",2
"889","won't","let","you",2
"890","sstart","do","i",2
"891","a","little","ppause",2
"892","i","think","i'm",2
"893","starting","to","get",2
"894","sstart","hmm","ppause",2
"895","i","got","you",2
"896","got","you","eexclamation",2
"897","sstart","what","about",2
"898","ccomma","i'm","sorry",2
"899","treated","you","like",2
"900","you","like","a",2
"901","a","warrior","pperiod",2
"902","warrior","pperiod","eend",2
"903","sstart","you","need",2
"904","disguise","pperiod","eend",2
"905","sstart","great","eexclamation",2
"906","sstart","great","ccomma",2
"907","sstart","sstart","mmm",2
"908","sstart","mmm","eexclamation",2
"909","mmm","eexclamation","eend",2
"910","funny","pperiod","eend",2
"911","this","guy","is",2
"912","if","you","think",2
"913","think","we're","gonna",2
"914","ccomma","how","was",2
"915","anyway","qquestion","eend",2
"916","sstart","oh","come",2
"917","oh","come","on",2
"918","eexclamation","you","know",2
"919","why","did","you",2
"920","we've","got","a",2
"921","pperiod","first","ccomma",2
"922","them","qquestion","eend",2
"923","ccomma","so","we",2
"924","hey","eexclamation","i",2
"925","eexclamation","yeh","ccomma",2
"926","sstart","fire","nation",2
"927","get","some","sleep",2
"928","some","sleep","pperiod",2
"929","pperiod","we're","leaving",2
"930","with","fire","nation",2
"931","ccomma","we'll","be",2
"932","good","night","pperiod",2
"933","happen","qquestion","eend",2
"934","sstart","then","it's",2
"935","it's","too","late",2
"936","he's","long","gone",2
"937","long","gone","pperiod",2
"938","earthbending","pperiod","eend",2
"939","sstart","sstart","here",2
"940","sstart","what","did",2
"941","sstart","you","better",2
"942","off","pperiod","eend",2
"943","no","ccomma","you",2
"944","momo","ccomma","you",2
"945","ccomma","you","have",2
"946","what","she's","doing",2
"947","to","get","out",2
"948","sstart","i","hate",2
"949","like","this","pperiod",2
"950","much","time","pperiod",2
"951","pperiod","what","are",2
"952","are","we","gonna",2
"953","we","gonna","do",2
"954","sstart","sstart","for",2
"955","the","same","thing",2
"956","give","it","a",2
"957","sstart","it's","like",2
"958","pperiod","there's","no",2
